駅番号,路線名,駅名
M10,名古屋市営地下鉄名城線,志賀本通駅
M11,名古屋市営地下鉄名城線,平安通駅
M12,名古屋市営地下鉄名城線,大曽根駅
M13,名古屋市営地下鉄名城線,ナゴヤドーム前矢田駅
M14,名古屋市営地下鉄名城線,砂田橋駅
M15,名古屋市営地下鉄名城線,茶屋ヶ坂駅
M16,名古屋市営地下鉄名城線,自由ヶ丘駅
M17,名古屋市営地下鉄名城線,本山駅
M18,名古屋市営地下鉄名城線,名古屋大学駅
M19,名古屋市営地下鉄名城線,八事日赤駅
M20,名古屋市営地下鉄名城線,八事駅
M21,名古屋市営地下鉄名城線,総合リハビリセンター駅
M22,名古屋市営地下鉄名城線,瑞穂運動場東駅
M23,名古屋市営地下鉄名城線,新瑞橋駅
M24,名古屋市営地下鉄名城線,妙音通駅
M25,名古屋市営地下鉄名城線,堀田駅
M26,名古屋市営地下鉄名城線,伝馬町駅
M27,名古屋市営地下鉄名城線,神宮西駅
M28,名古屋市営地下鉄名城線,西高蔵駅
E01,名古屋市営地下鉄名港線,金山駅
E02,名古屋市営地下鉄名港線,日比野駅
E03,名古屋市営地下鉄名港線,六番町駅
E04,名古屋市営地下鉄名港線,東海通駅
E05,名古屋市営地下鉄名港線,港区役所駅
E06,名古屋市営地下鉄名港線,築地口駅
E07,名古屋市営地下鉄名港線,名古屋港駅
T01,名古屋市営地下鉄鶴舞線,上小田井駅
T02,名古屋市営地下鉄鶴舞線,庄内緑地公園駅
T03,名古屋市営地下鉄鶴舞線,庄内通駅
T04,名古屋市営地下鉄鶴舞線,浄心駅
T05,名古屋市営地下鉄鶴舞線,浅間町駅
T06,名古屋市営地下鉄鶴舞線,丸の内駅
T07,名古屋市営地下鉄鶴舞線,伏見駅
T08,名古屋市営地下鉄鶴舞線,大須観音駅
T09,名古屋市営地下鉄鶴舞線,上前津駅
T10,名古屋市営地下鉄鶴舞線,鶴舞駅
T11,名古屋市営地下鉄鶴舞線,荒畑駅
T12,名古屋市営地下鉄鶴舞線,御器所駅
T13,名古屋市営地下鉄鶴舞線,川名駅
T14,名古屋市営地下鉄鶴舞線,いりなか駅
T15,名古屋市営地下鉄鶴舞線,八事駅
T16,名古屋市営地下鉄鶴舞線,塩釜口駅
T17,名古屋市営地下鉄鶴舞線,植田駅
T18,名古屋市営地下鉄鶴舞線,原駅
T19,名古屋市営地下鉄鶴舞線,平針駅
T20,名古屋市営地下鉄鶴舞線,赤池駅
S01,名古屋市営地下鉄桜通線,中村区役所駅
S02,名古屋市営地下鉄桜通線,名古屋駅
S03,名古屋市営地下鉄桜通線,国際センター駅
S04,名古屋市営地下鉄桜通線,丸の内駅
S05,名古屋市営地下鉄桜通線,久屋大通駅
S06,名古屋市営地下鉄桜通線,高岳駅
S07,名古屋市営地下鉄桜通線,車道駅
S08,名古屋市営地下鉄桜通線,今池駅
S09,名古屋市営地下鉄桜通線,吹上駅
S10,名古屋市営地下鉄桜通線,御器所駅
S11,名古屋市営地下鉄桜通線,桜山駅
S12,名古屋市営地下鉄桜通線,瑞穂区役所駅
S13,名古屋市営地下鉄桜通線,瑞穂運動場西駅
S14,名古屋市営地下鉄桜通線,新瑞橋駅
S15,名古屋市営地下鉄桜通線,桜本町駅
S16,名古屋市営地下鉄桜通線,鶴里駅
S17,名古屋市営地下鉄桜通線,野並駅
S18,名古屋市営地下鉄桜通線,鳴子北駅
S19,名古屋市営地下鉄桜通線,相生山駅
S20,名古屋市営地下鉄桜通線,神沢駅
S21,名古屋市営地下鉄桜通線,徳重駅
K01,名古屋市営地下鉄上飯田線,上飯田駅
K02,名古屋市営地下鉄上飯田線,平安通駅
Y01,名古屋ガイドウェイバスガイドウェイバス志段味線,大曽根駅
Y02,名古屋ガイドウェイバスガイドウェイバス志段味線,ナゴヤドーム前矢田駅
Y03,名古屋ガイドウェイバスガイドウェイバス志段味線,砂田橋駅
Y04,名古屋ガイドウェイバスガイドウェイバス志段味線,守山駅
Y05,名古屋ガイドウェイバスガイドウェイバス志段味線,金屋駅
Y06,名古屋ガイドウェイバスガイドウェイバス志段味線,川宮駅
Y07,名古屋ガイドウェイバスガイドウェイバス志段味線,川村駅
Y08,名古屋ガイドウェイバスガイドウェイバス志段味線,白沢渓谷駅
Y09,名古屋ガイドウェイバスガイドウェイバス志段味線,小幡緑地駅
AN01,名古屋臨海高速鉄道西名古屋港線,名古屋駅
AN02,名古屋臨海高速鉄道西名古屋港線,ささしまライブ駅
AN03,名古屋臨海高速鉄道西名古屋港線,小本駅
AN04,名古屋臨海高速鉄道西名古屋港線,荒子駅
AN05,名古屋臨海高速鉄道西名古屋港線,南荒子駅
AN06,名古屋臨海高速鉄道西名古屋港線,中島駅
AN07,名古屋臨海高速鉄道西名古屋港線,名古屋競馬場前駅
AN08,名古屋臨海高速鉄道西名古屋港線,荒子川公園駅
AN09,名古屋臨海高速鉄道西名古屋港線,稲永駅
AN10,名古屋臨海高速鉄道西名古屋港線,野跡駅
AN11,名古屋臨海高速鉄道西名古屋港線,金城ふ頭駅
L01,愛知高速交通東部丘陵線,藤が丘駅
L02,愛知高速交通東部丘陵線,はなみずき通駅
L03,愛知高速交通東部丘陵線,杁ヶ池公園駅
L04,愛知高速交通東部丘陵線,長久手古戦場駅
L05,愛知高速交通東部丘陵線,芸大通駅
L06,愛知高速交通東部丘陵線,公園西駅
L07,愛知高速交通東部丘陵線,愛・地球博記念公園駅
L08,愛知高速交通東部丘陵線,陶磁資料館南駅
L09,愛知高速交通東部丘陵線,八草駅
1,愛知環状鉄道線,岡崎駅
2,愛知環状鉄道線,六名駅
3,愛知環状鉄道線,中岡崎駅
4,愛知環状鉄道線,北岡崎駅
5,愛知環状鉄道線,大門駅
6,愛知環状鉄道線,北野桝塚駅
7,愛知環状鉄道線,三河上郷駅
8,愛知環状鉄道線,永覚駅
9,愛知環状鉄道線,末野原駅
10,愛知環状鉄道線,三河豊田駅
11,愛知環状鉄道線,新上挙母駅
12,愛知環状鉄道線,新豊田駅
13,愛知環状鉄道線,愛環梅坪駅
14,愛知環状鉄道線,四郷駅
15,愛知環状鉄道線,貝津駅
16,愛知環状鉄道線,保見駅
17,愛知環状鉄道線,篠原駅
18,愛知環状鉄道線,八草駅
19,愛知環状鉄道線,山口駅
20,愛知環状鉄道線,瀬戸口駅
21,愛知環状鉄道線,瀬戸市駅
22,愛知環状鉄道線,中水野駅
23,愛知環状鉄道線,高蔵寺駅
IS01,伊豆箱根鉄道駿豆線,三島駅
IS02,伊豆箱根鉄道駿豆線,三島広小路駅
IS03,伊豆箱根鉄道駿豆線,三島田町駅
IS04,伊豆箱根鉄道駿豆線,三島二日町駅
IS05,伊豆箱根鉄道駿豆線,大場駅
IS06,伊豆箱根鉄道駿豆線,伊豆仁田駅
IS07,伊豆箱根鉄道駿豆線,原木駅
IS08,伊豆箱根鉄道駿豆線,韮山駅
IS09,伊豆箱根鉄道駿豆線,伊豆長岡駅
IS10,伊豆箱根鉄道駿豆線,田京駅
IS11,伊豆箱根鉄道駿豆線,大仁駅
IS12,伊豆箱根鉄道駿豆線,牧之郷駅
IS13,伊豆箱根鉄道駿豆線,修善寺駅
ID01,伊豆箱根鉄道大雄山線,小田原駅
ID02,伊豆箱根鉄道大雄山線,緑町駅
ID03,伊豆箱根鉄道大雄山線,井細田駅
ID04,伊豆箱根鉄道大雄山線,五百羅漢駅
ID05,伊豆箱根鉄道大雄山線,穴部駅
ID06,伊豆箱根鉄道大雄山線,飯田岡駅
ID07,伊豆箱根鉄道大雄山線,相模沼田駅
ID08,伊豆箱根鉄道大雄山線,岩原駅
ID09,伊豆箱根鉄道大雄山線,塚原駅
ID10,伊豆箱根鉄道大雄山線,和田河原駅
ID11,伊豆箱根鉄道大雄山線,富士フイルム前駅
ID12,伊豆箱根鉄道大雄山線,大雄山駅
1,伊勢鉄道伊勢線,四日市駅
2,伊勢鉄道伊勢線,南四日市駅
3,伊勢鉄道伊勢線,河原田駅
4,伊勢鉄道伊勢線,鈴鹿駅
5,伊勢鉄道伊勢線,玉垣駅
6,伊勢鉄道伊勢線,鈴鹿サーキット稲生駅
7,伊勢鉄道伊勢線,徳田駅
8,伊勢鉄道伊勢線,中瀬古駅
9,伊勢鉄道伊勢線,伊勢上野駅
10,伊勢鉄道伊勢線,河芸駅
11,伊勢鉄道伊勢線,東一身田駅
12,伊勢鉄道伊勢線,津駅
NK01,南海本線,難波駅
NK02,南海本線,今宮戎駅
NK03,南海本線,新今宮駅
NK04,南海本線,萩ノ茶屋駅
NK05,南海本線,天下茶屋駅
NK06,南海本線,岸里玉出駅
NK07,南海本線,粉浜駅
NK08,南海本線,住吉大社駅
NK09,南海本線,住ノ江駅
NK10,南海本線,七道駅
NK11,南海本線,堺駅
NK12,南海本線,湊駅
NK13,南海本線,石津川駅
NK14,南海本線,諏訪ノ森駅
NK15,南海本線,浜寺公園駅
NK16,南海本線,羽衣駅
NK17,南海本線,高石駅
NK18,南海本線,北助松駅
NK19,南海本線,松ノ浜駅
NK20,南海本線,泉大津駅
NK21,南海本線,忠岡駅
NK22,南海本線,春木駅
NK23,南海本線,和泉大宮駅
NK24,南海本線,岸和田駅
NK25,南海本線,蛸地蔵駅
NK26,南海本線,貝塚駅
NK27,南海本線,二色浜駅
NK28,南海本線,鶴原駅
NK29,南海本線,井原里駅
NK30,南海本線,泉佐野駅
NK33,南海本線,羽倉崎駅
NK34,南海本線,吉見ノ里駅
NK35,南海本線,岡田浦駅
NK36,南海本線,樽井駅
NK37,南海本線,尾崎駅
NK38,南海本線,鳥取ノ荘駅
NK39,南海本線,箱作駅
NK40,南海本線,淡輪駅
NK41,南海本線,みさき公園駅
NK42,南海本線,孝子駅
NK43,南海本線,和歌山大学前駅
NK44,南海本線,紀ノ川駅
NK45,南海本線,和歌山市駅
NK30,南海空港線,泉佐野駅
NK31,南海空港線,りんくうタウン駅
NK32,南海空港線,関西空港駅
NK16,南海高師浜線,羽衣駅
NK16-1,南海高師浜線,伽羅橋駅
NK16-2,南海高師浜線,高師浜駅
NK41,南海多奈川線,みさき公園駅
NK41-1,南海多奈川線,深日町駅
NK41-2,南海多奈川線,深日港駅
NK41-3,南海多奈川線,多奈川駅
NK45,南海加太線,和歌山市駅
NK44,南海加太線,紀ノ川駅
NK44-1,南海加太線,東松江駅
NK44-2,南海加太線,中松江駅
NK44-3,南海加太線,八幡前駅
NK44-4,南海加太線,西ノ庄駅
NK44-5,南海加太線,二里ヶ浜駅
NK44-6,南海加太線,磯ノ浦駅
NK44-7,南海加太線,加太駅
NK45,南海和歌山港線,和歌山市駅
NK45-1,南海和歌山港線,和歌山港駅
NK01,南海高野線,難波駅
NK02,南海高野線,今宮戎駅
NK03,南海高野線,新今宮駅
NK04,南海高野線,萩ノ茶屋駅
NK05,南海高野線,天下茶屋駅
NK51,南海高野線,帝塚山駅
NK52,南海高野線,住吉東駅
NK53,南海高野線,沢ノ町駅
NK54,南海高野線,我孫子前駅
NK55,南海高野線,浅香山駅
NK56,南海高野線,堺東駅
NK57,南海高野線,三国ヶ丘駅
NK58,南海高野線,百舌鳥八幡駅
NK59,南海高野線,中百舌鳥駅
NK60,南海高野線,白鷺駅
NK61,南海高野線,初芝駅
NK62,南海高野線,萩原天神駅
NK63,南海高野線,北野田駅
NK64,南海高野線,狭山駅
NK65,南海高野線,大阪狭山市駅
NK66,南海高野線,金剛駅
NK67,南海高野線,滝谷駅
NK68,南海高野線,千代田駅
NK69,南海高野線,河内長野駅
NK70,南海高野線,三日市町駅
NK71,南海高野線,美加の台駅
NK72,南海高野線,千早口駅
NK73,南海高野線,天見駅
NK74,南海高野線,紀見峠駅
NK75,南海高野線,林間田園都市駅
NK76,南海高野線,御幸辻駅
NK77,南海高野線,橋本駅
NK78,南海高野線,紀伊清水駅
NK79,南海高野線,学文路駅
NK80,南海高野線,九度山駅
NK81,南海高野線,高野下駅
NK82,南海高野線,下古沢駅
NK83,南海高野線,上古沢駅
NK84,南海高野線,紀伊細川駅
NK85,南海高野線,紀伊神谷駅
NK86,南海高野線,極楽橋駅
NK86,南海鋼索線,極楽橋駅
NK87,南海鋼索線,高野山駅
SB01,泉北高速鉄道線,中百舌鳥駅
SB02,泉北高速鉄道線,深井駅
SB03,泉北高速鉄道線,泉ケ丘駅
SB04,泉北高速鉄道線,栂・美木多駅
SB05,泉北高速鉄道線,光明池駅
SB06,泉北高速鉄道線,和泉中央駅
HN51,阪堺電気軌道阪堺線,恵美須町駅
HN52,阪堺電気軌道阪堺線,新今宮駅前停留場
HN53,阪堺電気軌道阪堺線,今池停留場
HN54,阪堺電気軌道阪堺線,今船停留場
HN55,阪堺電気軌道阪堺線,松田町停留場
HN56,阪堺電気軌道阪堺線,北天下茶屋停留場
HN57,阪堺電気軌道阪堺線,聖天坂停留場
HN58,阪堺電気軌道阪堺線,天神ノ森停留場
HN59,阪堺電気軌道阪堺線,東玉出停留場
HN60,阪堺電気軌道阪堺線,塚西停留場
HN61,阪堺電気軌道阪堺線,東粉浜停留場
HN10,阪堺電気軌道阪堺線,住吉停留場
HN12,阪堺電気軌道阪堺線,住吉鳥居前停留場
HN13,阪堺電気軌道阪堺線,細井川停留場
HN14,阪堺電気軌道阪堺線,安立町停留場
HN15,阪堺電気軌道阪堺線,我孫子道停留場
HN16,阪堺電気軌道阪堺線,大和川停留場
HN17,阪堺電気軌道阪堺線,高須神社停留場
HN18,阪堺電気軌道阪堺線,綾ノ町停留場
HN19,阪堺電気軌道阪堺線,神明町停留場
HN20,阪堺電気軌道阪堺線,妙国寺前停留場
HN21,阪堺電気軌道阪堺線,花田口停留場
HN22,阪堺電気軌道阪堺線,大小路停留場
HN23,阪堺電気軌道阪堺線,宿院停留場
HN24,阪堺電気軌道阪堺線,寺地町停留場
HN25,阪堺電気軌道阪堺線,御陵前停留場
HN26,阪堺電気軌道阪堺線,東湊停留場
HN27,阪堺電気軌道阪堺線,石津北停留場
HN28,阪堺電気軌道阪堺線,石津停留場
HN29,阪堺電気軌道阪堺線,船尾停留場
HN31,阪堺電気軌道阪堺線,浜寺駅前停留場
HN01,阪堺電気軌道上町線,天王寺駅前停留場
HN02,阪堺電気軌道上町線,阿倍野停留場
HN03,阪堺電気軌道上町線,松虫停留場
HN04,阪堺電気軌道上町線,東天下茶屋停留場
HN05,阪堺電気軌道上町線,北畠停留場
HN06,阪堺電気軌道上町線,姫松停留場
HN07,阪堺電気軌道上町線,帝塚山三丁目停留場
HN08,阪堺電気軌道上町線,帝塚山四丁目停留場
HN09,阪堺電気軌道上町線,神ノ木停留場
HN10,阪堺電気軌道上町線,住吉停留場
HN11,阪堺電気軌道上町線,住吉公園駅
K01,京都市営地下鉄烏丸線,国際会館駅
K02,京都市営地下鉄烏丸線,松ヶ崎駅
K03,京都市営地下鉄烏丸線,北山駅
K04,京都市営地下鉄烏丸線,北大路駅
K05,京都市営地下鉄烏丸線,鞍馬口駅
K06,京都市営地下鉄烏丸線,今出川駅
K07,京都市営地下鉄烏丸線,丸太町駅
K08,京都市営地下鉄烏丸線,烏丸御池駅
K09,京都市営地下鉄烏丸線,四条駅
K10,京都市営地下鉄烏丸線,五条駅
K11,京都市営地下鉄烏丸線,京都駅
K12,京都市営地下鉄烏丸線,九条駅
K13,京都市営地下鉄烏丸線,十条駅
K14,京都市営地下鉄烏丸線,くいな橋駅
K15,京都市営地下鉄烏丸線,竹田駅
T01,京都市営地下鉄東西線,六地蔵駅
T02,京都市営地下鉄東西線,石田駅
T03,京都市営地下鉄東西線,醍醐駅
T04,京都市営地下鉄東西線,小野駅
T05,京都市営地下鉄東西線,椥辻駅
T06,京都市営地下鉄東西線,東野駅
T07,京都市営地下鉄東西線,山科駅
T08,京都市営地下鉄東西線,御陵駅
T09,京都市営地下鉄東西線,蹴上駅
T10,京都市営地下鉄東西線,東山駅
T11,京都市営地下鉄東西線,三条京阪駅
T12,京都市営地下鉄東西線,京都市役所前駅
T13,京都市営地下鉄東西線,烏丸御池駅
T14,京都市営地下鉄東西線,二条城前駅
T15,京都市営地下鉄東西線,二条駅
T16,京都市営地下鉄東西線,西大路御池駅
T17,京都市営地下鉄東西線,太秦天神川駅
A1,京福電気鉄道嵐山本線,四条大宮駅
A3,京福電気鉄道嵐山本線,西院（さい）駅
A4,京福電気鉄道嵐山本線,西大路三条駅
A5,京福電気鉄道嵐山本線,山ノ内駅
A6,京福電気鉄道嵐山本線,嵐電天神川駅
A7,京福電気鉄道嵐山本線,蚕ノ社駅
A8,京福電気鉄道嵐山本線,太秦広隆寺駅
A9,京福電気鉄道嵐山本線,帷子ノ辻駅
A10,京福電気鉄道嵐山本線,有栖川駅
A11,京福電気鉄道嵐山本線,車折神社駅
A12,京福電気鉄道嵐山本線,鹿王院駅
A13,京福電気鉄道嵐山本線,嵐電嵯峨駅
A14,京福電気鉄道嵐山本線,嵐山駅
B9,京福電気鉄道北野線,北野白梅町駅
B8,京福電気鉄道北野線,等持院駅
B7,京福電気鉄道北野線,龍安寺駅
B6,京福電気鉄道北野線,妙心寺駅
B5,京福電気鉄道北野線,御室仁和寺駅
B4,京福電気鉄道北野線,宇多野駅
B3,京福電気鉄道北野線,鳴滝駅
B2,京福電気鉄道北野線,常盤駅
B1,京福電気鉄道北野線,帷子ノ辻駅
E01,叡山電鉄叡山本線,出町柳駅
E02,叡山電鉄叡山本線,元田中駅
E03,叡山電鉄叡山本線,茶山駅
E04,叡山電鉄叡山本線,一乗寺駅
E05,叡山電鉄叡山本線,修学院駅
E06,叡山電鉄叡山本線,宝ケ池駅
E07,叡山電鉄叡山本線,三宅八幡駅
E08,叡山電鉄叡山本線,八瀬比叡山口駅
E06,叡山電鉄鞍馬線,宝ケ池駅
E09,叡山電鉄鞍馬線,八幡前駅
E10,叡山電鉄鞍馬線,岩倉駅
E11,叡山電鉄鞍馬線,木野駅
E12,叡山電鉄鞍馬線,京都精華大前駅
E13,叡山電鉄鞍馬線,二軒茶屋駅
E14,叡山電鉄鞍馬線,市原駅
E15,叡山電鉄鞍馬線,二ノ瀬駅
E16,叡山電鉄鞍馬線,貴船口駅
E17,叡山電鉄鞍馬線,鞍馬駅
11,大阪高速鉄道大阪モノレール線,大阪空港駅
12,大阪高速鉄道大阪モノレール線,蛍池駅
13,大阪高速鉄道大阪モノレール線,柴原駅
14,大阪高速鉄道大阪モノレール線,少路駅
15,大阪高速鉄道大阪モノレール線,千里中央駅
16,大阪高速鉄道大阪モノレール線,山田駅
17,大阪高速鉄道大阪モノレール線,万博記念公園駅
18,大阪高速鉄道大阪モノレール線,宇野辺駅
19,大阪高速鉄道大阪モノレール線,南茨木駅
20,大阪高速鉄道大阪モノレール線,沢良宜駅
21,大阪高速鉄道大阪モノレール線,摂津駅
22,大阪高速鉄道大阪モノレール線,南摂津駅
23,大阪高速鉄道大阪モノレール線,大日駅
24,大阪高速鉄道大阪モノレール線,門真市駅
17,大阪高速鉄道国際文化公園都市線,万博記念公園駅
51,大阪高速鉄道国際文化公園都市線,公園東口駅
52,大阪高速鉄道国際文化公園都市線,阪大病院前駅
53,大阪高速鉄道国際文化公園都市線,豊川駅
54,大阪高速鉄道国際文化公園都市線,彩都西駅
M11,大阪市営地下鉄御堂筋線,江坂駅
M12,大阪市営地下鉄御堂筋線,東三国駅
M13,大阪市営地下鉄御堂筋線,新大阪駅
M14,大阪市営地下鉄御堂筋線,西中島南方駅
M15,大阪市営地下鉄御堂筋線,中津駅
M16,大阪市営地下鉄御堂筋線,梅田駅
M17,大阪市営地下鉄御堂筋線,淀屋橋駅
M18,大阪市営地下鉄御堂筋線,本町駅
M19,大阪市営地下鉄御堂筋線,心斎橋駅
M20,大阪市営地下鉄御堂筋線,難波駅
M21,大阪市営地下鉄御堂筋線,大国町駅
M22,大阪市営地下鉄御堂筋線,動物園前駅
M23,大阪市営地下鉄御堂筋線,天王寺駅
M24,大阪市営地下鉄御堂筋線,昭和町駅
M25,大阪市営地下鉄御堂筋線,西田辺駅
M26,大阪市営地下鉄御堂筋線,長居駅
M27,大阪市営地下鉄御堂筋線,我孫子駅
M28,大阪市営地下鉄御堂筋線,北花田駅
M29,大阪市営地下鉄御堂筋線,新金岡駅
M30,大阪市営地下鉄御堂筋線,中百舌鳥駅
T11,大阪市営地下鉄谷町線,大日駅
T12,大阪市営地下鉄谷町線,守口駅
T13,大阪市営地下鉄谷町線,太子橋今市駅
T14,大阪市営地下鉄谷町線,千林大宮駅
T15,大阪市営地下鉄谷町線,関目高殿駅
T16,大阪市営地下鉄谷町線,野江内代駅
T17,大阪市営地下鉄谷町線,都島駅
T18,大阪市営地下鉄谷町線,天神橋筋六丁目駅
T19,大阪市営地下鉄谷町線,中崎町駅
T20,大阪市営地下鉄谷町線,東梅田駅
T21,大阪市営地下鉄谷町線,南森町駅
T22,大阪市営地下鉄谷町線,天満橋駅
T23,大阪市営地下鉄谷町線,谷町四丁目駅
T24,大阪市営地下鉄谷町線,谷町六丁目駅
T25,大阪市営地下鉄谷町線,谷町九丁目駅
T26,大阪市営地下鉄谷町線,四天王寺前夕陽ヶ丘駅
T27,大阪市営地下鉄谷町線,天王寺駅
T28,大阪市営地下鉄谷町線,阿倍野駅
T29,大阪市営地下鉄谷町線,文の里駅
T30,大阪市営地下鉄谷町線,田辺駅
T31,大阪市営地下鉄谷町線,駒川中野駅
T32,大阪市営地下鉄谷町線,平野駅
T33,大阪市営地下鉄谷町線,喜連瓜破駅
T34,大阪市営地下鉄谷町線,出戸駅
T35,大阪市営地下鉄谷町線,長原駅
T36,大阪市営地下鉄谷町線,八尾南駅
Y11,大阪市営地下鉄四つ橋線,西梅田駅
Y12,大阪市営地下鉄四つ橋線,肥後橋駅
Y13,大阪市営地下鉄四つ橋線,本町駅
Y14,大阪市営地下鉄四つ橋線,四ツ橋駅
Y15,大阪市営地下鉄四つ橋線,難波駅
Y16,大阪市営地下鉄四つ橋線,大国町駅
Y17,大阪市営地下鉄四つ橋線,花園町駅
Y18,大阪市営地下鉄四つ橋線,岸里駅
Y19,大阪市営地下鉄四つ橋線,玉出駅
Y20,大阪市営地下鉄四つ橋線,北加賀屋駅
Y21,大阪市営地下鉄四つ橋線,住之江公園駅
C10,大阪市営地下鉄中央線,コスモスクエア駅
C11,大阪市営地下鉄中央線,大阪港駅
C12,大阪市営地下鉄中央線,朝潮橋駅
C13,大阪市営地下鉄中央線,弁天町駅
C14,大阪市営地下鉄中央線,九条駅
C15,大阪市営地下鉄中央線,阿波座駅
C16,大阪市営地下鉄中央線,本町駅
C17,大阪市営地下鉄中央線,堺筋本町駅
C18,大阪市営地下鉄中央線,谷町四丁目駅
C19,大阪市営地下鉄中央線,森ノ宮駅
C20,大阪市営地下鉄中央線,緑橋駅
C21,大阪市営地下鉄中央線,深江橋駅
C22,大阪市営地下鉄中央線,高井田駅
C23,大阪市営地下鉄中央線,長田駅
S11,大阪市営地下鉄千日前線,野田阪神駅
S12,大阪市営地下鉄千日前線,玉川駅
S13,大阪市営地下鉄千日前線,阿波座駅
S14,大阪市営地下鉄千日前線,西長堀駅
S15,大阪市営地下鉄千日前線,桜川駅
S16,大阪市営地下鉄千日前線,難波駅
S17,大阪市営地下鉄千日前線,日本橋駅
S18,大阪市営地下鉄千日前線,谷町九丁目駅
S19,大阪市営地下鉄千日前線,鶴橋駅
S20,大阪市営地下鉄千日前線,今里駅
S21,大阪市営地下鉄千日前線,新深江駅
S22,大阪市営地下鉄千日前線,小路駅
S23,大阪市営地下鉄千日前線,北巽駅
S24,大阪市営地下鉄千日前線,南巽駅
K11,大阪市営地下鉄堺筋線,天神橋筋六丁目駅
K12,大阪市営地下鉄堺筋線,扇町駅
K13,大阪市営地下鉄堺筋線,南森町駅
K14,大阪市営地下鉄堺筋線,北浜駅
K15,大阪市営地下鉄堺筋線,堺筋本町駅
K16,大阪市営地下鉄堺筋線,長堀橋駅
K17,大阪市営地下鉄堺筋線,日本橋駅
K18,大阪市営地下鉄堺筋線,恵美須町駅
K19,大阪市営地下鉄堺筋線,動物園前駅
K20,大阪市営地下鉄堺筋線,天下茶屋駅
N11,大阪市営地下鉄長堀鶴見緑地線,大正駅
N12,大阪市営地下鉄長堀鶴見緑地線,ドーム前千代崎駅
N13,大阪市営地下鉄長堀鶴見緑地線,西長堀駅
N14,大阪市営地下鉄長堀鶴見緑地線,西大橋駅
N15,大阪市営地下鉄長堀鶴見緑地線,心斎橋駅
N16,大阪市営地下鉄長堀鶴見緑地線,長堀橋駅
N17,大阪市営地下鉄長堀鶴見緑地線,松屋町駅
N18,大阪市営地下鉄長堀鶴見緑地線,谷町六丁目駅
N19,大阪市営地下鉄長堀鶴見緑地線,玉造駅
N20,大阪市営地下鉄長堀鶴見緑地線,森ノ宮駅
N21,大阪市営地下鉄長堀鶴見緑地線,大阪ビジネスパーク駅
N22,大阪市営地下鉄長堀鶴見緑地線,京橋駅
N23,大阪市営地下鉄長堀鶴見緑地線,蒲生四丁目駅
N24,大阪市営地下鉄長堀鶴見緑地線,今福鶴見駅
N25,大阪市営地下鉄長堀鶴見緑地線,横堤駅
N26,大阪市営地下鉄長堀鶴見緑地線,鶴見緑地駅
N27,大阪市営地下鉄長堀鶴見緑地線,門真南駅
I11,大阪市営地下鉄今里筋線,井高野駅
I12,大阪市営地下鉄今里筋線,瑞光四丁目駅
I13,大阪市営地下鉄今里筋線,だいどう豊里駅
I14,大阪市営地下鉄今里筋線,太子橋今市駅
I15,大阪市営地下鉄今里筋線,清水駅
I16,大阪市営地下鉄今里筋線,新森古市駅
I17,大阪市営地下鉄今里筋線,関目成育駅
I18,大阪市営地下鉄今里筋線,蒲生四丁目駅
I19,大阪市営地下鉄今里筋線,鴫野駅
I20,大阪市営地下鉄今里筋線,緑橋駅
I21,大阪市営地下鉄今里筋線,今里駅
P09,大阪市交通局南港ポートタウン線,コスモスクエア駅
P10,大阪市交通局南港ポートタウン線,トレードセンター前駅
P11,大阪市交通局南港ポートタウン線,中ふ頭駅
P12,大阪市交通局南港ポートタウン線,ポートタウン西駅
P13,大阪市交通局南港ポートタウン線,ポートタウン東駅
P14,大阪市交通局南港ポートタウン線,フェリーターミナル駅
P15,大阪市交通局南港ポートタウン線,南港東駅
P16,大阪市交通局南港ポートタウン線,南港口駅
P17,大阪市交通局南港ポートタウン線,平林駅
P18,大阪市交通局南港ポートタウン線,住之江公園駅
M08,北大阪急行電鉄南北線,千里中央駅
M09,北大阪急行電鉄南北線,桃山台駅
M10,北大阪急行電鉄南北線,緑地公園駅
M11,北大阪急行電鉄南北線,江坂駅
A01,近鉄難波線,大阪難波駅
A02,近鉄難波線,近鉄日本橋駅
A03,近鉄難波線,大阪上本町駅
A01,近鉄奈良線,大阪難波駅
A02,近鉄奈良線,近鉄日本橋駅
A03,近鉄奈良線,大阪上本町駅
A04,近鉄奈良線,鶴橋駅
A05,近鉄奈良線,今里駅
A06,近鉄奈良線,布施駅
A07,近鉄奈良線,河内永和駅
A08,近鉄奈良線,河内小阪駅
A09,近鉄奈良線,八戸ノ里駅
A10,近鉄奈良線,若江岩田駅
A11,近鉄奈良線,河内花園駅
A12,近鉄奈良線,東花園駅
A13,近鉄奈良線,瓢箪山駅
A14,近鉄奈良線,枚岡駅
A15,近鉄奈良線,額田駅
A16,近鉄奈良線,石切駅
A17,近鉄奈良線,生駒駅
A18,近鉄奈良線,東生駒駅
A19,近鉄奈良線,富雄駅
A20,近鉄奈良線,学園前駅
A21,近鉄奈良線,菖蒲池駅
A26,近鉄奈良線,大和西大寺駅
A27,近鉄奈良線,新大宮駅
A28,近鉄奈良線,近鉄奈良駅
G17,近鉄生駒線,生駒駅
G18,近鉄生駒線,菜畑駅
G19,近鉄生駒線,一分駅
G20,近鉄生駒線,南生駒駅
G21,近鉄生駒線,萩の台駅
G22,近鉄生駒線,東山駅
